"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Калькуляция кредита","В зависимости от источника дохода","","0","0","3","0","0"
"Калькуляция кредита","В зависимости от цели кредита","","0","0","4","0","0"
"Расчет одобренной суммы кредита","В зависимости от источника дохода","Источник дохода: наёмный работник","0","0","3","0","0"
"Расчет одобренной суммы кредита","В зависимости от источника дохода","Источник дохода: пассивный доход","0","0","3","0","0"
"Калькуляция кредита","В зависимости от суммы кредита","","0","0","5","0","0"
"Валидация выдачи кредита","Валидация срока и суммы кредита","","0","0","3","0","0"
"Валидация выдачи кредита","Валидация годового платежа и годового дохода","","0","0","3","0","0"
"Валидация выдачи кредита","Проверка возраста","Мужчины","0","0","3","0","0"
"Расчет одобренной суммы кредита","В зависимости от кредитного рейтинга","Рейтинг: -1","0","0","3","0","0"
"Расчет одобренной суммы кредита","В зависимости от источника дохода","Источник дохода: собственный бизнес","0","0","3","0","0"
"Расчет одобренной суммы кредита","В зависимости от кредитного рейтинга","Рейтинг: 2","0","0","3","0","0"
"Валидация выдачи кредита","Проверка возраста","Женщины","0","0","3","0","0"
"Валидация выдачи кредита","Валидация кредитного рейтинга","","0","0","2","0","0"
"Расчет одобренной суммы кредита","В зависимости от кредитного рейтинга","Рейтинг: 0","0","0","3","0","0"
"Калькуляция кредита","В зависимости от кредитного рейтинга","","0","0","4","0","0"
"Валидация выдачи кредита","Валидация источника дохода","","0","0","2","0","0"
